
Iteration 1
{(50, 7, 35, 40): 26.527003102435227, (50, 1, 75, 55): 31.88428283991836, (50, 2, 75, 55): 42.528740156773324, (50, 4, 30, 45): 42.942219625941526, (50, 1, 75, 60): 46.66707094707082, (50, 2, 75, 60): 48.31252352577219, (50, 3, 25, 40): 68.0497194765099, (50, 1, 65, 55): 77.7433152968374, (50, 2, 65, 55): 78.65475694974955, (50, 4, 35, 40): 81.8510056251662, (50, 4, 30, 40): 84.01366396255871, (50, 1, 75, 65): 87.68711478838763, (50, 3, 75, 60): 91.54148780727208, (50, 2, 75, 65): 92.59024314736556, (50, 3, 75, 55): 94.24910662177707, (50, 1, 70, 55): 103.63864939362618, (50, 1, 65, 60): 105.25320861637331, (50, 4, 40, 45): 106.52134439195737, (50, 2, 70, 55): 107.66647662206131, (50, 1, 75, 70): 108.96667668645674, (50, 2, 65, 60): 119.35471411116092, (50, 1, 55, 55): 119.7741093029527, (50, 1, 65, 65): 121.45884457083014, (50, 3, 75, 65): 122.86383660194925, (50, 3, 70, 55): 135.935166301028, (50, 1, 75, 75): 136.0718872909365, (50, 3, 65, 55): 136.28722607121637, (50, 3, 30, 45): 138.6056000572346, (50, 2, 75, 70): 142.71655677924903, (50, 8, 40, 40): 158.78108772706534, (50, 1, 75, 45): 177.37938489711416, (50, 7, 45, 45): 179.95082015989044}

Iteration 5
1 (50, 7, 35, 40) 26.527003102435227 (10, 10) 1.8432890926734662 bad
2 (50, 1, 75, 55) 31.88428283991836 (10, 10) 0.9999999999999989
3 (50, 2, 75, 55) 42.528740156773324 (10, 10) 0.9999999999999992
4 (50, 1, 75, 60) 46.66707094707082 (10, 10) 0.9999999999999972
5 (50, 2, 75, 60) 48.31252352577219 (10, 10) 0.9999999999999982
6 (50, 6, 35, 45) 59.28811404759504 (10, 10) 1.9161932678983233 unqiue
7 (50, 1, 65, 55) 77.7433152968374 (10, 10) 0.9999999999999984
8 (50, 2, 65, 55) 78.65475694974955 (10, 10) 0.9999999999999994
9 (50, 1, 75, 65) 87.68711478838763 (10, 10) 0.9999999999999977
10 (50, 3, 75, 60) 91.54148780727208 (10, 10) 0.9999999999999987
11 (50, 2, 75, 65) 92.59024314736556 (10, 10) 0.9999999999999993
12 (50, 3, 75, 55) 94.24910662177707 (10, 10) 0.9999999999999996
13 (50, 1, 70, 55) 103.63864939362618 (10, 10) 0.9999999999999984
14 (50, 1, 65, 60) 105.25320861637331 (10, 10) 0.9999999999999988
15 (50, 4, 40, 45) 106.52134439195737 (10, 10) 1.2361373886074325
16 (50, 2, 70, 55) 107.66647662206131 (10, 10) 0.9999999999999967
17 (50, 1, 75, 70) 108.96667668645674 (10, 10) 0.9999999999999993
18 (50, 2, 65, 60) 119.35471411116092 (10, 10) 0.9999999999999992
19 (50, 1, 55, 55) 119.7741093029527 (10, 10) 0.9999999999999981
20 (50, 1, 65, 65) 121.45884457083014 (10, 10) 0.9999999999999992
21 (50, 3, 75, 65) 122.86383660194925 (10, 10) 0.9999999999999971
22 (50, 3, 70, 55) 135.935166301028 (10, 10) 0.9999999999999982
23 (50, 1, 75, 75) 136.0718872909365 (10, 10) 0.9999999999999977
24 (50, 3, 65, 55) 136.28722607121637 (10, 10) 0.9999999999999994
25 (50, 2, 75, 70) 142.71655677924903 (10, 10) 0.9999999999999988
26 (50, 4, 35, 45) 156.05508035242525 (10, 10) 1.3690866020545396 unique
27 (50, 1, 75, 45) 177.37938489711416 (10, 10) 0.9999999999999992
28 (50, 1, 70, 45) 180.93699536879106 (10, 10) 0.999999999999997 unique
29 (50, 1, 65, 45) 182.13748131783655 (10, 10) 0.9999999999999981 unique
30 (50, 2, 55, 55) 182.66137223384632 (10, 10) 0.9999999999999982 unique
31 (50, 1, 60, 45) 188.06755299238972 (10, 10) 0.9999999999999989 unique
32 (50, 2, 75, 45) 189.83523611563993 (10, 10) 0.9999999999999987 unqiue
{(50, 7, 35, 40): 26.527003102435227, (50, 1, 75, 55): 31.88428283991836, (50, 2, 75, 55): 42.528740156773324, (50, 1, 75, 60): 46.66707094707082, (50, 2, 75, 60): 48.31252352577219, (50, 6, 35, 45): 59.28811404759504, (50, 1, 65, 55): 77.7433152968374, (50, 2, 65, 55): 78.65475694974955, (50, 1, 75, 65): 87.68711478838763, (50, 3, 75, 60): 91.54148780727208, (50, 2, 75, 65): 92.59024314736556, (50, 3, 75, 55): 94.24910662177707, (50, 1, 70, 55): 103.63864939362618, (50, 1, 65, 60): 105.25320861637331, (50, 4, 40, 45): 106.52134439195737, (50, 2, 70, 55): 107.66647662206131, (50, 1, 75, 70): 108.96667668645674, (50, 2, 65, 60): 119.35471411116092, (50, 1, 55, 55): 119.7741093029527, (50, 1, 65, 65): 121.45884457083014, (50, 3, 75, 65): 122.86383660194925, (50, 3, 70, 55): 135.935166301028, (50, 1, 75, 75): 136.0718872909365, (50, 3, 65, 55): 136.28722607121637, (50, 2, 75, 70): 142.71655677924903, (50, 4, 35, 45): 156.05508035242525, (50, 1, 75, 45): 177.37938489711416, (50, 1, 70, 45): 180.93699536879106, (50, 1, 65, 45): 182.13748131783655, (50, 2, 55, 55): 182.66137223384632, (50, 1, 60, 45): 188.06755299238972, (50, 2, 75, 45): 189.83523611563993}
